fid,habitat type,area_km2
"1",agro,0.636111189492848
"2",mead,0.0794476610374227
"3",rude,0.138855826424625
"4",bind,0.0297274453668315
"5",brur,0.106375559492258
"6",brur,0.00910729043817148
"7",brur,0.207544586182497
"8",rude,0.00496145477002859
"9",brur,0.00410919707936049
"10",brur,0.0163327112167031
"11",agro,0.229755639118738
"12",agro,0.0266673007460982
"13",tran,0.0525647744994815
"14",brur,0.0344739824208282
"15",agro,0.293371700015321
"16",bind,0.00655411890017986
"17",brur,0.0297541810784005
"18",brur,0.0150071205794085
"19",brur,0.00494718446666282
"20",agro,0.0737369586385926
"21",agro,0.699936228954554
"22",gree,0.0450760710485671
"23",tran,0.0258539780172063
"24",gree,0.0282834581910595
"25",brur,0.116178893076283
"26",agro,0.0222029106689692
"27",rude,0.0163065444913534
"28",brur,0.0452950445528328
"29",brur,0.0675795804523267
"30",agro,0.0440816657949537
"31",rude,0.648861922970682
"32",rude,0.0881519343211949
"33",mead,0.152216158748887
"34",tran,0.0327061885712743
"35",infr,0.0142638560034037
"36",bind,0.0100478819089234
"37",agro,0.0299814662480429
"38",rude,0.220524587634414
"41",mead,0.197951641043186
"42",agro,0.0437265563763678
"43",mead,0.955820032727033
"44",mead,0.00416474780136347
"45",agro,0.111687037773099
"46",agro,0.0624797138862237
"47",wate,0.00657127409256063
"48",wate,0.00599700014179945
"49",wate,0.00567507795239985
"50",wate,0.00131321564580617
"51",gree,0.0021563952166019
"52",gree,0.033289446938605
"53",agro,0.0400308641453823
"54",wate,0.00246044432477281
"55",bhig,0.072586404395625
"56",gree,0.00594725476943701
"57",gree,0.0193122132315394
"58",infr,0.0013426093313396
"59",bind,0.0685928493397413
"60",bind,0.0201246872158172
"61",brur,0.193045522959212
"62",rude,0.00242472701451089
"63",rude,0.00095715872312896
"64",rude,0.00902783587067574
"65",bhig,0.00725441375027969
"66",rude,0.00450873846638948
"67",brur,0.12111113259669
"68",gree,0.0624145070367195
"69",mead,0.00393730340072513
"70",mead,0.00965241452264413
"71",mead,0.0139745805777702
"72",gard,0.0982500474407566
"73",rude,0.00305144160444289
"74",ceme,0.00155584228796884
"75",agro,0.00447895053351671
"76",infr,0.0186606506351233
"77",wate,0.00884045009114221
"78",rude,0.0104644032854363
"79",ceme,0.000733698467615992
"80",gard,0.0127687291414589
"81",rude,0.00845186545518041
"82",gard,0.0485468985888432
"83",mead,0.00908937342970073
"84",agro,0.499487629084229
"85",mead,0.28006883531931
"86",gard,0.102484424890056
"87",brur,0.0244519804342724
"88",gree,0.225869352948087
"89",gree,0.0794924597978108
"90",bhig,0.0669842533776164
"91",gree,0.0708075688659735
"92",infr,0.0171220607029907
"93",gard,0.0247050199847817
"94",agro,0.11981654340637
"95",agro,0.00739074530497193
"96",agro,0.0212413857163042
"97",agro,0.0445327679427853
"98",gree,0.00388362054761499
"99",bind,0.0167939849120155
"100",wate,0.00135767440551519
"101",agro,0.0276503501051441
"102",agro,0.00687232381802797
"103",brur,0.240630236693524
"104",agro,0.79386159274739
"105",gree,0.0105706383242533
"106",brur,0.0437652221439742
"107",gree,0.00233237025482953
"108",mead,0.00660914323851839
"109",gree,0.0523465224367995
"110",agro,0.0473949130644929
"111",rude,0.0427255495911054
"112",fore,0.104487214770138
"113",rude,0.0119248516845554
"114",agro,0.0874754766857885
"115",wate,0.203790954830065
"116",mead,0.110347021383718
"117",gree,0.0160904667778462
"118",ceme,0.0127721080281064
"119",mead,0.00494258245940506
"120",gard,0.0749326636580937
"121",gard,0.00432683182709292
"122",brur,0.0593774322650768
"123",gree,0.00593759126764908
"124",gree,0.00204828007685766
"125",mead,0.00544015156550705
"126",rude,0.0373800517717451
"127",agro,0.0271490624057949
"128",agro,0.231223376112305
"129",brur,0.120228968754313
"130",agro,0.0402117806741372
"131",agro,0.0556786583091319
"132",agro,0.0433964478030764
"133",gard,0.146166699520521
"134",mead,0.174967034744546
"135",fore,0.0348763939107358
"136",rude,0.321407706376822
"137",mead,0.00805334323565289
"138",mead,0.0438173076212034
"139",agro,0.0108774417052343
"140",gard,0.0615505736809075
"141",rude,0.101750026032567
"142",fore,0.836357259418309
"143",gard,0.00698907417868078
"144",fore,0.975040225539714
"145",gard,0.0176335790619086
"146",brur,0.0435822775324015
"147",fore,0.956098666094795
"148",fore,0.999677511291921
"149",rude,0.061608217542259
"150",fore,0.938121527049879
"151",fore,0.683336806551848
"152",agro,0.070434591077581
"153",gree,0.0740934658904225
"154",brur,0.145824308415242
"155",bind,0.0260517380316481
"156",ceme,0.205964196445625
